,Farm0001,Farm0002,Farm0003,Farm0004,Farm0005,Farm0006,Farm0007,Farm0008,Farm0009,Farm0010,Farm0011,Farm0012,Farm0013,Farm0014,Farm0015,Farm0016,Farm0017,Farm0018,Farm0019,Farm0020,Farm0021,Farm0022,Farm0023,Farm0024,Farm0025,Farm0026,Farm0027,Farm0028,Farm0029,Farm0030,Farm0031,Farm0032,Farm0033,Farm0034,Farm0035,Farm0036,Farm0037,Farm0038,Farm0039,Farm0040,Farm0041,Farm0042,Farm0043,Farm0044,Farm0045,Farm0046,Farm0047,Farm0048,Farm0049,Farm0050,Farm0051,Farm0052,Farm0053,Farm0054,Farm0055,Farm0056,Farm0057,Farm0058,Farm0059,Farm0060,Farm0061,Farm0062,Farm0063,Farm0064,Farm0065,Farm0066,Farm0067,Farm0068,Farm0069,Farm0070,Farm0071,Farm0072,Farm0073,Farm0074,Farm0075,Farm0076,Farm0077,Farm0078,Farm0079,Farm0080,Farm0081,Farm0082,Farm0083,Farm0084,Farm0085,Farm0086,Farm0087,Farm0088,Farm0089,Farm0090,Farm0091,Farm0092,Farm0093,Farm0094,Farm0095,Farm0096,Farm0097,Farm0098,Farm0099,Farm0100,Farm0101,Farm0102,Farm0103,Farm0104,Farm0105,Farm0106,Farm0107,Farm0108,Farm0109,Farm0110,Farm0111,Farm0112,Farm0113,Farm0114,Farm0115,Farm0116,Farm0117,Farm0118,Farm0119,Farm0120,Farm0121,Farm0122,Farm0123,Farm0124,Farm0125,Farm0126,Farm0127,Farm0128,Farm0129,Farm0130,Farm0131,Farm0132,Farm0133,Farm0134,Farm0135,Farm0136,Farm0137,Farm0138,Farm0139,Farm0140,Farm0141,Farm0142,Farm0143,Farm0144,Farm0145,Farm0146,Farm0147,Farm0148,Farm0149,Farm0150,Farm0151,Farm0152,Farm0153,Farm0154,Farm0155,Farm0156,Farm0157,Farm0158,Farm0159,Farm0160,Farm0161,Farm0162,Farm0163,Farm0164,Farm0165,Farm0166,Farm0167,Farm0168,Farm0169,Farm0170,Farm0171,Farm0172,Farm0173,Farm0174,Farm0175,Farm0176,Farm0177,Farm0178,Farm0179,Farm0180,Farm0181,Farm0182,Farm0183,Farm0184,Farm0185,Farm0186,Farm0187,Farm0188,Farm0189,Farm0190,Farm0191,Farm0192,Farm0193,Farm0194,Farm0195,Farm0196,Farm0197,Farm0198,Farm0199,Farm0200,Farm0201,Farm0202,Farm0203,Farm0204,Farm0205,Farm0206,Farm0207,Farm0208,Farm0209,Farm0210,Farm0211,Farm0212,Farm0213,Farm0214
Farm0027,2,2,10,6,8,12,9,12,8,8,6,7,12,10,8,13,10,14,9,7,9,8,11,8,14,8,,15,14,17,14,10,12,13,14,16,16,10,16,13,9,13,4,2,8,10,14,0,0,14,16,6,6,1,18,14,16,12,12,14,11,18,13,14,16,18,11,14,2,16,16,4,16,16,10,14,14,14,16,10,16,8,14,14,16,18,12,16,3,6,12,12,14,14,14,16,8,16,20,14,14,16,14,17,2,16,9,22,10,14,16,12,14,18,18,19,17,19,14,17,16,12,20,16,22,15,18,17,12,18,13,20,8,13,8,18,18,17,21,16,18,16,16,20,18,8,17,15,19,16,12,12,23,23,143,18,18,17,22,22,15,18,8,16,21,15,17,17,18,14,18,16,19,19,11,14,18,18,18,20,8,22,18,12,24,14,18,24,21,18,14,21,16,19,18,18,16,18,20,22,20,24,28,25,32,19,13,15,27,26,20,25,24,28
Farm0028,14,14,20,16,19,4,20,24,20,19,15,19,5,20,20,6,22,0,21,18,20,20,22,18,6,20,15,,6,4,6,20,8,6,8,2,4,20,8,6,20,24,18,16,20,20,6,14,16,6,8,19,18,16,6,6,8,21,23,6,21,10,23,4,8,28,4,6,18,8,9,20,26,26,20,6,7,6,9,20,28,22,8,8,10,11,22,10,18,18,24,24,26,8,24,9,22,28,13,6,22,10,7,10,17,8,24,31,24,26,28,24,8,12,12,11,10,13,8,30,10,24,12,10,34,9,10,10,24,27,24,32,23,25,23,12,30,10,14,9,29,26,27,32,31,22,8,8,12,23,27,22,16,16,133,12,28,10,14,14,26,29,24,28,14,26,11,10,10,25,11,12,11,11,26,26,28,10,10,31,22,16,13,22,34,22,31,17,12,12,24,33,26,30,10,12,28,12,12,16,30,36,20,18,25,13,24,26,20,18,12,36,35,22
Farm0029,12,12,18,15,18,3,18,21,18,18,14,16,2,18,18,1,21,5,18,18,18,18,19,16,2,16,14,6,,8,2,17,1,4,4,6,7,17,4,2,19,22,16,14,18,19,3,14,16,2,3,16,16,14,10,2,6,21,19,5,18,9,21,8,6,25,0,4,16,4,4,18,26,24,18,5,2,4,6,18,26,19,2,3,7,6,22,5,14,16,22,22,23,2,23,6,21,25,9,2,22,4,2,6,15,4,22,30,22,22,26,22,4,7,7,8,6,8,3,28,6,20,8,6,30,5,6,6,22,27,20,29,22,23,22,8,28,6,10,6,28,25,26,30,26,20,4,6,8,24,25,22,12,12,131,6,26,7,10,10,24,26,22,26,8,24,8,6,6,22,6,7,8,7,24,22,28,9,8,28,21,11,9,22,32,22,27,13,9,8,24,30,26,28,7,8,26,8,8,11,28,34,17,12,21,10,22,24,16,14,8,33,32,17
Farm0030,16,15,22,19,22,7,22,25,23,22,18,20,8,22,22,6,24,3,22,20,21,22,24,20,8,22,17,4,8,,8,22,8,8,10,4,4,22,11,9,20,26,20,19,22,22,10,17,18,8,9,20,20,17,8,8,9,24,24,8,22,14,24,6,10,28,6,9,20,10,11,22,28,26,22,10,9,9,10,22,30,22,10,10,12,14,25,12,18,20,25,26,29,10,28,10,25,28,15,10,23,11,10,12,19,10,25,32,26,26,29,26,8,14,12,13,12,15,10,32,12,25,14,12,35,11,12,12,24,30,26,33,26,27,25,13,32,12,15,12,32,28,30,33,32,24,12,10,14,26,29,24,19,17,136,14,30,12,18,16,30,30,24,30,14,29,13,12,12,28,12,13,14,12,28,28,32,12,14,34,25,16,15,24,36,24,32,19,16,14,26,34,26,32,14,14,30,12,14,18,32,38,22,18,26,14,26,28,22,20,14,38,38,23
Farm0031,13,14,17,14,18,3,18,20,18,18,13,16,2,20,18,2,21,5,18,18,18,18,21,16,1,18,14,6,2,8,,18,2,4,4,4,8,18,4,2,18,23,16,16,18,18,4,12,14,2,4,16,17,13,8,2,6,20,20,6,19,7,22,8,7,25,1,4,16,2,5,18,24,24,18,4,2,6,6,19,26,20,4,4,6,8,20,5,14,16,20,21,24,3,22,4,20,24,9,4,22,6,4,6,16,5,22,30,24,22,25,22,4,8,6,8,6,8,4,26,6,22,9,6,32,6,6,6,20,26,20,29,21,22,20,6,27,6,10,5,28,24,25,29,27,22,6,4,8,24,24,22,12,11,132,8,26,6,10,10,23,28,22,25,10,24,8,6,6,24,6,8,9,6,24,24,27,8,6,29,22,10,10,22,32,22,28,12,10,8,23,30,25,28,8,8,25,6,8,11,29,34,18,14,19,10,22,24,16,14,8,32,34,18
Farm0032,6,6,12,8,12,16,12,15,12,11,8,10,17,13,9,16,14,19,12,11,12,12,14,10,18,10,10,20,17,22,18,,18,18,18,20,20,12,20,18,12,14,12,10,12,14,18,8,10,18,19,10,11,10,23,18,20,14,12,18,14,21,15,22,20,18,18,18,12,20,21,14,20,16,13,20,19,19,20,12,19,12,20,20,21,23,14,24,10,10,15,15,18,19,17,20,18,16,25,19,16,22,20,22,10,19,17,24,18,16,19,16,20,23,23,23,23,24,18,20,22,16,24,21,25,21,22,22,15,21,16,22,17,14,18,22,19,22,26,20,20,20,18,23,20,17,21,22,24,18,21,16,28,27,146,22,19,22,26,26,18,22,18,19,26,18,23,23,22,18,23,22,24,23,21,18,20,22,24,22,17,28,25,16,27,16,20,29,26,23,18,24,18,20,23,23,19,22,24,26,21,28,32,29,36,24,16,16,33,30,24,28,27,32
Farm0033,11,12,18,16,17,2,18,21,18,18,15,16,3,18,18,1,20,5,18,17,18,18,20,17,2,16,12,8,1,8,2,18,,4,4,6,8,18,5,2,18,22,16,15,17,20,2,12,14,1,4,16,16,14,9,2,6,22,19,4,20,8,22,8,7,26,0,3,16,4,6,17,25,24,18,6,3,4,5,18,25,18,2,4,6,7,22,6,16,16,20,22,24,2,22,6,21,26,10,4,22,5,3,7,16,6,20,30,22,22,24,22,4,8,7,7,6,8,4,26,7,22,8,5,30,4,6,6,21,26,20,28,22,23,21,6,26,6,10,4,27,24,25,29,27,20,5,6,8,24,25,22,12,12,130,6,26,8,10,10,24,27,22,25,9,24,7,6,6,23,6,6,8,8,24,24,27,8,8,29,21,11,8,22,32,22,28,12,10,8,24,30,26,28,6,8,25,6,8,11,30,34,17,14,21,12,22,24,17,14,8,32,33,18
Farm0034,12,12,18,15,18,1,18,21,18,18,14,16,2,18,18,3,19,5,18,18,18,18,20,17,4,16,13,6,4,8,4,18,4,,6,6,7,18,7,4,18,22,16,15,18,19,4,13,14,5,8,16,17,13,10,4,2,21,20,1,18,6,20,7,2,24,2,5,16,6,6,18,24,25,18,2,6,0,2,20,24,19,6,6,8,9,22,7,16,16,22,22,24,5,24,7,21,26,12,5,22,7,6,8,16,6,20,30,22,22,24,22,6,10,8,8,8,11,6,28,9,21,9,7,31,7,8,8,21,26,22,28,20,24,22,8,27,9,12,7,27,25,25,28,27,22,8,7,10,24,26,22,14,14,132,9,26,8,14,12,24,28,21,25,10,24,9,9,8,24,8,8,10,10,24,24,28,8,10,30,20,12,10,22,32,22,28,16,10,10,24,30,26,28,8,10,26,8,10,14,30,34,19,15,22,12,23,24,18,16,8,34,32,20
Farm0035,14,14,18,18,18,4,19,22,18,19,15,18,5,20,20,2,21,7,18,18,19,18,21,17,4,18,14,8,4,10,4,18,4,6,,8,9,19,6,3,18,23,18,16,18,20,5,14,16,4,7,16,16,16,12,5,8,24,20,8,20,9,23,10,8,26,4,6,17,6,8,20,26,25,20,8,4,7,8,18,26,20,5,6,8,9,22,8,16,17,22,23,26,6,24,6,21,26,11,1,23,6,4,8,16,6,22,31,24,24,26,24,6,8,8,8,8,10,1,28,8,24,10,7,32,8,7,8,23,28,21,29,20,24,22,8,28,8,11,6,28,26,26,30,28,22,7,6,10,24,26,22,14,14,132,10,27,8,12,11,26,28,22,26,11,25,8,8,8,24,8,10,10,8,24,24,28,9,10,30,23,12,12,23,33,23,29,14,12,10,26,32,26,30,9,10,25,8,10,14,28,34,18,15,22,12,22,24,18,16,10,32,34,20
Farm0036,14,14,18,16,20,5,20,22,20,19,16,17,5,22,20,4,22,0,20,18,20,20,22,17,6,20,16,2,6,4,4,20,6,6,8,,3,20,8,6,20,24,18,18,20,19,8,15,16,6,7,18,18,16,5,6,8,22,22,7,20,10,24,4,8,27,5,6,18,8,9,20,24,26,20,6,7,7,8,20,26,21,8,8,10,12,24,10,17,18,24,24,27,6,26,8,24,26,12,8,21,10,7,9,17,8,22,30,24,25,27,24,8,11,11,12,10,12,10,30,10,24,12,10,34,8,10,10,23,28,25,31,23,25,22,11,29,10,14,9,30,26,27,32,30,24,10,10,12,24,27,22,16,16,134,12,26,10,15,13,26,28,24,28,13,26,10,10,10,26,10,12,12,10,26,26,30,10,11,32,23,16,12,22,34,22,30,16,14,12,24,32,24,30,11,11,27,12,13,14,32,36,20,18,25,13,24,28,20,18,12,36,34,22
Farm0037,15,15,21,18,21,4,20,26,22,20,16,18,7,23,20,5,22,2,21,18,21,22,23,20,8,19,16,4,7,4,8,20,8,7,9,3,,21,8,8,20,25,20,18,22,19,8,16,16,7,9,20,18,16,6,6,9,24,23,8,22,11,24,5,8,28,6,7,19,10,10,20,26,26,21,8,8,8,9,20,26,23,8,8,12,12,24,10,18,20,24,24,26,8,26,10,24,28,14,8,22,11,7,11,18,10,24,30,24,25,28,24,8,12,12,12,12,14,8,30,10,24,13,10,35,10,12,12,24,29,26,32,24,26,24,12,30,10,14,10,30,28,28,32,30,24,11,10,14,24,28,24,16,18,134,12,29,10,16,15,27,30,24,27,14,26,13,12,11,26,11,12,12,12,26,27,30,12,12,32,24,15,14,23,34,22,31,18,14,12,26,32,24,31,12,14,27,12,12,16,32,36,22,18,25,12,25,26,22,19,12,36,36,23
Farm0038,6,7,12,10,2,15,12,10,12,2,7,11,16,1,12,16,14,20,2,12,12,2,14,10,18,11,10,20,17,22,18,12,18,18,19,20,21,,20,18,12,17,10,10,4,13,20,8,10,18,19,10,10,10,22,18,20,15,14,20,14,23,14,22,20,18,18,19,12,20,21,14,18,18,14,19,20,18,22,12,8,12,19,20,22,23,14,22,10,10,16,4,18,20,18,21,17,19,24,19,16,20,20,21,11,20,16,24,18,16,19,16,19,23,23,22,22,24,20,20,22,16,24,21,14,21,22,22,14,20,16,23,16,18,18,23,20,22,25,22,10,20,8,10,22,17,20,21,24,18,22,16,28,28,146,22,21,22,27,26,18,22,18,6,24,18,23,22,22,17,23,21,24,24,20,6,20,22,23,10,18,28,26,16,14,16,21,28,26,22,18,12,19,22,24,24,20,23,24,26,23,17,32,30,35,24,17,18,32,30,25,16,14,34
Farm0039,13,14,20,18,20,5,20,24,20,20,16,18,4,20,20,4,22,7,20,19,19,21,22,17,5,18,16,8,4,11,4,20,5,7,6,8,8,20,,4,20,24,18,16,20,22,4,16,16,4,6,18,18,15,12,4,9,24,22,8,22,10,24,10,8,26,2,6,19,6,8,20,27,26,20,8,4,8,8,20,27,20,5,6,8,8,24,8,16,18,22,24,26,5,25,6,22,26,10,4,24,6,4,8,17,6,23,32,24,24,27,24,7,9,9,8,10,11,6,30,8,25,11,7,33,6,8,8,22,28,22,30,22,26,24,8,30,8,12,6,30,27,28,31,28,22,8,8,10,26,27,23,14,14,132,10,27,8,12,12,26,29,24,26,11,26,9,8,8,26,8,10,10,9,26,26,29,10,9,31,24,12,11,24,34,24,30,15,12,10,26,32,27,30,8,10,26,10,10,14,32,36,19,15,23,12,24,26,18,16,10,34,34,20
Farm0040,12,12,18,15,18,2,18,20,18,17,13,16,4,19,18,1,20,5,18,18,19,18,20,16,2,17,13,6,2,9,2,18,2,4,3,6,8,18,4,,18,22,16,16,18,19,3,12,14,2,3,16,16,14,8,2,6,22,20,6,19,8,22,8,6,26,0,2,17,4,6,18,26,24,18,5,3,6,6,18,26,20,4,4,6,7,20,6,15,16,22,22,25,3,22,6,22,26,10,4,22,6,2,8,16,3,21,30,22,22,26,22,4,7,7,8,6,9,4,26,6,22,8,6,31,5,6,6,21,26,20,30,20,22,20,7,26,6,10,6,26,25,24,28,27,22,6,6,7,24,26,23,12,12,130,7,26,6,10,10,24,26,22,24,8,25,8,6,8,22,5,6,8,7,24,23,27,8,7,30,20,12,9,22,32,22,28,13,10,8,24,31,26,28,8,8,24,7,8,11,29,35,17,14,20,10,22,25,16,14,8,34,34,18
Farm0041,7,6,12,10,11,16,12,12,11,12,8,2,16,13,12,18,14,18,12,10,11,12,13,10,19,12,9,20,19,20,18,12,18,18,18,20,20,12,20,18,,17,12,10,12,4,20,10,10,18,21,10,2,10,22,19,20,14,14,19,6,23,8,22,19,20,17,18,12,20,20,14,10,18,0,20,18,19,18,0,20,2,19,20,22,22,16,22,11,2,15,16,18,18,16,20,16,18,25,20,8,21,18,22,11,20,18,16,18,16,20,4,19,24,23,24,22,25,18,21,22,4,24,20,26,20,21,22,15,20,15,22,16,16,18,23,22,22,26,20,20,20,19,23,10,17,21,20,24,10,20,8,28,28,144,23,20,22,28,27,18,22,18,18,26,18,24,22,22,16,22,20,24,23,20,18,22,22,22,24,17,28,24,8,25,6,22,28,25,21,10,24,12,22,23,24,19,24,24,26,24,28,34,29,36,24,16,18,33,30,23,29,26,34
Farm0042,10,10,14,10,16,20,16,20,14,15,10,14,21,17,4,21,18,24,16,16,16,16,18,12,22,12,13,24,22,26,23,14,22,22,23,24,25,17,24,22,17,,16,15,16,16,22,15,14,22,24,14,14,14,26,22,24,19,6,23,17,26,20,26,23,12,20,21,16,25,26,18,22,2,16,23,24,24,24,16,24,16,23,24,26,26,8,26,14,14,20,20,20,24,20,24,22,3,28,22,19,24,23,26,16,24,21,28,22,20,24,20,24,28,27,28,26,29,22,24,26,20,28,26,29,25,28,25,19,24,20,27,22,2,20,26,14,26,30,25,26,23,23,27,25,20,26,24,28,22,24,20,32,32,150,26,12,26,30,30,24,26,22,24,29,21,26,26,27,22,25,26,28,27,24,22,6,26,26,27,20,30,28,20,30,19,14,32,29,25,23,28,24,26,28,28,23,27,28,30,14,32,36,33,39,28,20,22,35,34,28,32,30,37
Farm0043,5,6,12,8,12,14,12,16,12,12,8,10,14,12,12,14,15,18,12,11,10,11,15,9,16,11,4,18,16,20,16,12,16,16,18,18,20,10,18,16,12,16,,6,12,14,18,3,3,16,18,10,10,4,21,16,18,15,14,18,12,20,14,20,18,19,16,16,7,18,19,9,20,18,12,18,16,18,18,12,19,13,18,16,20,21,14,20,6,10,14,15,18,17,16,19,11,18,24,17,16,18,17,20,6,16,11,24,12,16,20,16,18,20,20,22,18,21,16,20,20,16,22,20,25,20,21,20,14,18,16,22,10,16,11,20,21,20,24,20,20,20,19,22,21,12,18,18,22,18,16,16,26,26,144,21,21,20,25,24,18,22,12,18,23,18,20,21,20,18,20,20,21,21,15,18,22,20,20,23,12,26,22,16,26,15,23,28,24,20,18,24,18,22,21,22,20,20,22,26,22,28,30,26,34,22,16,18,30,28,24,28,27,32
Farm0044,5,6,11,8,10,14,9,14,12,11,7,10,14,13,10,15,12,16,10,10,11,10,13,8,14,9,2,16,14,19,16,10,15,15,16,18,18,10,16,16,10,15,6,,12,13,17,3,3,14,18,10,8,2,20,16,18,14,12,16,12,18,15,18,16,18,14,14,4,17,18,7,18,18,10,16,16,17,16,10,17,12,16,17,19,20,14,19,4,9,14,15,16,16,16,18,10,18,22,16,16,18,16,20,4,17,10,22,10,14,18,15,17,20,20,20,20,19,17,20,18,14,22,18,24,18,18,19,14,18,16,22,11,15,9,20,20,18,22,18,20,17,18,22,20,10,18,18,22,17,14,15,25,26,144,20,18,20,24,24,18,20,10,17,22,18,20,20,20,17,19,18,22,20,13,17,21,20,20,22,10,24,22,16,26,15,21,26,22,20,16,24,17,21,22,20,17,21,20,24,22,26,29,26,32,20,15,16,29,26,21,27,28,30
Farm0045,6,6,12,10,2,16,12,12,12,3,7,10,16,3,12,16,14,18,0,10,11,2,14,10,18,10,8,20,18,22,18,12,17,18,18,20,22,4,20,18,12,16,12,12,,14,18,10,10,19,20,10,10,10,24,18,20,16,13,18,12,22,16,22,20,20,18,18,12,20,21,13,19,18,14,19,18,20,20,12,9,14,20,20,22,22,15,22,11,10,14,6,18,19,17,21,18,19,24,18,18,21,19,22,11,20,18,24,18,16,20,16,19,23,24,24,21,24,18,22,22,16,25,22,14,22,22,22,14,21,17,22,18,17,17,24,22,22,26,21,10,20,10,12,21,16,22,20,24,18,20,16,30,29,148,22,20,22,28,26,19,22,19,9,24,17,24,21,22,16,22,21,24,22,19,7,21,22,22,13,18,26,26,15,15,17,23,30,26,22,18,15,19,22,22,24,19,24,25,28,22,17,32,28,36,24,16,18,32,30,23,18,18,35
Farm0046,8,7,13,10,13,17,13,16,14,13,9,3,18,15,14,18,15,18,13,12,14,14,15,11,20,11,10,20,19,22,18,14,20,19,20,19,19,13,22,19,4,16,14,13,14,,20,10,10,20,21,11,4,11,22,18,21,14,16,22,6,24,8,22,22,20,18,20,12,21,22,16,6,20,5,19,20,20,21,6,20,6,18,20,24,24,16,22,12,2,16,16,18,20,18,21,18,20,26,21,2,22,20,24,12,20,20,10,19,18,20,10,19,24,23,24,22,26,20,22,24,10,25,23,24,21,23,24,16,20,18,23,18,18,19,24,22,22,27,20,22,21,20,24,14,18,22,22,24,5,22,3,30,29,146,24,21,22,28,26,20,23,18,20,26,20,24,24,23,18,24,22,24,22,22,19,22,24,25,24,18,27,26,3,28,2,22,30,26,22,4,24,6,24,24,26,20,24,24,28,24,30,34,30,37,22,16,19,34,31,25,29,28,35
Farm0047,13,14,20,16,18,4,18,22,18,19,15,17,3,20,18,2,20,4,18,18,20,20,20,18,3,18,14,6,3,10,4,18,2,4,5,8,8,20,4,3,20,22,18,17,18,20,,14,14,4,4,16,16,14,10,2,6,21,22,5,18,8,22,8,6,25,2,2,17,4,6,19,26,25,19,6,5,7,6,19,27,20,4,4,8,6,22,6,14,16,22,23,24,4,25,6,22,26,9,2,22,6,2,8,16,4,20,32,23,24,25,22,6,10,7,6,7,10,6,29,8,23,9,6,32,7,6,6,20,24,22,28,22,24,21,6,28,6,10,4,29,26,26,30,29,22,6,5,8,26,26,24,12,12,132,7,26,8,12,10,26,28,24,24,8,26,8,7,7,24,6,8,8,8,24,24,28,8,8,30,22,13,10,22,32,22,28,13,10,10,25,30,26,28,6,9,26,8,9,14,30,34,18,13,21,11,22,25,16,14,10,32,34,19
Farm0048,2,3,9,6,8,11,8,12,8,9,5,8,12,11,9,12,10,13,10,8,9,9,10,7,14,8,0,14,14,17,12,8,12,13,14,15,16,8,16,12,10,15,3,3,10,10,14,,1,12,14,7,8,0,18,15,17,14,11,14,12,16,10,17,16,18,12,14,4,18,18,8,18,16,12,16,15,14,17,10,16,12,17,16,20,18,12,19,4,10,12,12,17,16,16,16,10,18,22,16,15,18,16,18,4,14,11,20,11,13,17,14,16,19,20,18,18,19,16,18,16,12,19,18,22,16,18,19,12,17,13,22,10,17,10,18,20,19,22,18,20,17,16,22,20,7,18,15,21,17,14,14,26,24,141,20,20,20,24,22,16,20,12,16,19,15,18,18,16,14,18,18,22,19,11,18,18,19,20,22,8,24,22,13,24,14,22,23,20,19,16,24,17,19,21,22,16,20,19,25,24,27,27,24,33,18,13,14,28,26,21,26,24,30
Farm0049,4,4,10,8,10,12,10,13,10,9,7,8,14,10,10,12,12,14,10,9,10,10,12,8,14,8,0,16,16,18,14,10,14,14,16,16,16,10,16,14,10,14,3,3,10,10,14,1,,14,16,8,8,0,20,14,16,13,12,15,12,18,13,18,16,17,12,14,2,16,18,6,17,16,10,15,15,15,16,10,16,12,14,16,16,18,13,18,2,8,13,14,15,16,16,17,9,18,20,14,14,16,16,18,2,16,9,21,10,14,18,15,15,18,18,18,18,20,16,19,18,14,20,17,23,16,18,18,13,17,15,20,9,14,9,19,18,18,22,18,18,18,17,20,18,10,16,18,20,16,13,14,23,24,144,20,18,19,23,22,16,18,10,16,20,15,18,18,18,16,18,16,20,20,12,16,20,18,19,21,9,23,22,14,24,14,22,26,22,18,16,22,18,20,20,20,17,19,21,23,22,26,29,24,31,21,14,16,28,26,20,26,24,30
Farm0050,12,12,18,15,19,2,18,20,18,18,14,16,4,19,18,1,20,5,19,18,18,18,21,16,2,18,14,6,2,8,2,18,1,5,4,6,7,18,4,2,18,22,16,14,19,20,4,12,14,,2,16,16,13,8,2,6,22,20,4,20,8,20,8,6,25,1,4,16,2,4,18,25,23,18,6,0,6,6,18,25,20,1,2,4,5,20,4,15,16,22,22,24,3,24,4,21,26,10,4,21,2,2,4,15,2,22,30,22,22,24,22,4,6,6,4,4,6,5,28,6,22,6,4,30,2,4,4,22,26,20,28,22,22,21,4,28,4,7,6,27,25,24,29,26,20,3,5,6,23,25,22,10,10,128,8,26,6,10,8,23,26,22,24,6,25,4,4,4,24,4,6,6,4,25,24,27,8,6,30,20,10,10,23,32,22,28,11,8,5,24,30,25,28,5,8,26,6,6,9,28,34,15,10,18,8,23,24,14,13,6,32,34,16
Farm0051,14,14,20,18,20,4,19,22,20,19,16,18,5,22,20,3,22,8,19,20,21,20,22,18,4,19,16,8,3,9,4,19,4,8,7,7,9,19,6,3,21,24,18,18,20,21,4,14,16,2,,18,18,16,12,4,8,23,22,8,21,10,22,10,8,28,2,6,19,4,4,20,28,26,20,8,4,6,8,20,26,22,4,4,6,6,22,6,18,18,23,23,26,6,26,5,24,26,10,6,24,5,5,6,18,4,23,32,24,24,26,24,6,10,8,6,6,7,7,28,7,25,8,6,32,4,4,6,24,28,22,32,22,26,22,8,30,7,10,8,29,27,28,31,29,23,4,5,8,27,28,24,12,10,130,10,28,8,10,10,26,29,24,27,9,25,8,5,6,24,6,6,8,8,26,26,30,10,7,30,22,14,12,24,34,24,30,12,10,9,26,33,26,31,7,9,27,7,8,10,31,37,16,12,20,10,24,26,16,12,8,34,36,18
Farm0052,5,4,11,6,9,14,11,13,10,10,6,8,16,10,10,14,12,18,10,7,10,10,12,7,16,10,6,19,16,20,16,10,16,16,16,18,20,10,18,16,10,14,10,10,10,11,16,7,8,16,18,,8,7,20,17,18,10,14,17,12,21,14,21,17,17,15,16,10,18,18,12,17,16,10,17,18,18,18,10,17,10,18,20,20,22,13,19,10,8,12,14,16,17,14,19,15,18,23,17,14,19,16,20,10,19,16,22,16,12,14,14,18,22,22,22,20,23,16,20,20,14,22,18,22,20,19,20,12,16,12,19,16,15,16,20,18,20,24,19,20,16,16,22,19,15,18,20,23,16,18,14,26,26,146,22,18,20,25,26,14,16,18,17,24,14,22,22,20,12,20,20,22,20,18,17,18,20,22,21,14,26,23,14,25,15,20,27,23,20,16,22,16,18,22,23,18,21,22,24,20,26,31,26,34,22,14,16,30,28,22,26,24,32
Farm0053,4,4,10,6,10,13,10,13,9,10,6,0,14,11,10,16,11,17,9,8,10,9,12,8,16,8,6,18,16,20,17,11,16,17,16,18,18,10,18,16,2,14,10,8,10,4,16,8,8,16,18,8,,8,21,16,18,14,12,16,2,20,4,20,18,18,15,16,10,18,18,12,9,16,2,16,17,18,17,2,17,4,18,18,22,21,12,20,10,1,12,13,16,18,14,18,16,16,23,16,6,19,16,20,8,18,15,14,16,14,16,6,16,21,20,20,20,22,17,20,20,6,22,19,24,18,20,20,12,18,14,22,16,15,16,22,19,20,24,18,18,18,18,22,10,15,20,19,22,9,19,6,25,26,143,20,18,20,26,24,16,18,16,16,22,16,22,20,20,14,20,20,22,22,18,16,18,20,20,20,16,26,24,6,24,6,20,26,22,19,8,22,9,20,21,22,16,21,22,24,22,26,32,27,35,22,14,16,29,28,22,26,25,32
Farm0054,4,4,10,6,9,12,10,12,10,11,6,8,12,12,11,14,12,14,11,8,10,10,12,8,13,9,1,16,14,17,13,10,14,13,16,16,16,10,15,14,10,14,4,2,10,11,14,0,0,13,16,7,8,,20,14,16,12,12,16,11,18,14,18,16,17,14,14,1,16,17,6,17,17,8,14,15,15,17,10,18,10,16,16,18,18,12,18,3,8,13,16,16,16,16,17,10,18,22,14,14,18,14,19,2,15,8,22,11,13,16,14,16,20,18,19,18,18,14,20,18,14,20,16,23,16,18,16,13,18,14,21,9,15,10,20,19,19,22,16,20,18,18,20,18,8,18,17,20,16,13,14,24,24,143,20,18,18,23,22,15,18,10,16,22,16,19,19,18,16,18,17,20,20,12,16,20,20,18,22,10,22,22,15,25,14,20,24,22,18,17,22,17,21,18,20,18,20,20,24,22,26,30,25,32,20,14,16,28,26,20,26,24,30
Farm0055,18,17,23,19,23,8,24,26,22,23,19,20,8,24,24,8,25,4,22,22,23,23,25,21,8,22,18,6,10,8,8,23,9,10,12,5,6,22,12,8,22,26,21,20,24,22,10,18,20,8,12,20,21,20,,9,10,26,24,10,24,12,26,6,11,30,8,9,22,10,12,24,28,28,22,10,10,10,12,23,30,23,10,12,14,15,26,12,20,22,26,26,28,10,28,12,26,30,16,10,24,11,10,12,20,10,26,34,26,28,30,27,10,14,14,14,14,16,10,32,12,27,15,12,36,12,14,13,26,31,27,35,27,28,27,15,33,14,16,12,33,30,30,34,32,26,12,12,16,26,30,24,19,20,136,14,32,13,18,18,28,34,26,31,16,29,12,12,14,27,12,14,15,14,29,29,32,12,14,36,26,19,16,25,38,26,34,20,16,15,27,34,28,32,14,16,30,13,15,18,34,38,24,20,27,14,26,28,22,20,16,40,38,24
